total_performance,436.66
spy_performance,116.06
cagr,50.71
alpha,0.19
beta,1.26
sharpe,1.61
sortino,1.6
max_drawdown,29.69
avg_drawdown,5.59
volatility,28.08
var_95,-2.81
var_99,-4.72
cvar_95,-3.89
cvar_99,-5.43
up_capture,145.55
down_capture,126.73
correlation,0.73
win_rate,56.48
stability,0.97
roll_1y,67.78
roll_3y,52.34
roll_5y,51.18
years,4.1
